"name","category","image_path"
"COLLUSION Air tex football panneled and printed t-shirt in grey","Tops","images/COLLUSION_Air_tex_football_panneled_and_printed_t_shirt_in_grey.jpg"
"AllSaints Underground oversized t-shirt in brown","Tops","images/AllSaints_Underground_oversized_t_shirt_in_brown.jpg"
"ASOS DESIGN unisex oversized license t-shirt with The Spice Girls prints in white","Tops","images/ASOS_DESIGN_unisex_oversized_license_t_shirt_with_The_Spice_Girls_prints_in_white.jpg"
"New Look long sleeve oversized t-shirt in black","Tops","images/New_Look_long_sleeve_oversized_t_shirt_in_black.jpg"
"adidas Originals Trefoil Essentials joggers in black","Bottoms","images/adidas_Originals_Trefoil_Essentials_joggers_in_black.jpg"
"adidas Football Entrada 22 joggers in black - BLACK","Bottoms","images/adidas_Football_Entrada_22_joggers_in_black___BLACK.jpg"
"ASOS DESIGN essential skinny joggers in black","Bottoms","images/ASOS_DESIGN_essential_skinny_joggers_in_black.jpg"
"Topman premium heavyweight straight leg jogger in grey marl","Bottoms","images/Topman_premium_heavyweight_straight_leg_jogger_in_grey_marl.jpg"
"New Look padded bomber jacket in dark grey","Coats","images/New_Look_padded_bomber_jacket_in_dark_grey.jpg"
"ASOS DESIGN trench coat in black","Coats","images/ASOS_DESIGN_trench_coat_in_black.jpg"
"The North Face Saikuru puffer jacket in black","Coats","images/The_North_Face_Saikuru_puffer_jacket_in_black.jpg"
"New Look quilted gilet in dark khaki","Coats","images/New_Look_quilted_gilet_in_dark_khaki.jpg"
"The North Face Rino gloves in black","Accessories","images/The_North_Face_Rino_gloves_in_black.jpg"
"Rains 13300 MSN unisex waterproof large backpack in black","Accessories","images/Rains_13300_MSN_unisex_waterproof_large_backpack_in_black.jpg"
"Carhartt WIP unisex essentials flight bag in black","Accessories","images/Carhartt_WIP_unisex_essentials_flight_bag_in_black.jpg"
"The North Face Vault in tnf black-npf","Accessories","images/The_North_Face_Vault_in_tnf_black_npf.jpg"
"Jack & Jones Intelligence 2 Pack loose fit chino in beige & navy","Other","images/Jack___Jones_Intelligence_2_Pack_loose_fit_chino_in_beige___navy.jpg"
"ASOS DESIGN pull on smart wide leg trousers with front pleats in grey","Bottoms","images/ASOS_DESIGN_pull_on_smart_wide_leg_trousers_with_front_pleats_in_grey.jpg"
"ASOS DESIGN pull on smart tapered fit chino trousers in black","Bottoms","images/ASOS_DESIGN_pull_on_smart_tapered_fit_chino_trousers_in_black.jpg"
"River Island Regular fit workwear trousers in green - light","Bottoms","images/River_Island_Regular_fit_workwear_trousers_in_green___light.jpg"
"New Balance 530 trainers in white and grey","Shoes","images/New_Balance_530_trainers_in_white_and_grey.jpg"
"ASOS DESIGN lace up brogue boots in tan leather with natural sole","Shoes","images/ASOS_DESIGN_lace_up_brogue_boots_in_tan_leather_with_natural_sole.jpg"
"ASOS DESIGN tassel loafers in black faux leather","Shoes","images/ASOS_DESIGN_tassel_loafers_in_black_faux_leather.jpg"
"Crocs Duet max ii clog in off white","Shoes","images/Crocs_Duet_max_ii_clog_in_off_white.jpg"
"Nike Tech Fleece sweatshirt in grey","Tops","images/Nike_Tech_Fleece_sweatshirt_in_grey.jpg"
"Polo Ralph Lauren icon logo double knit sweat bomber in black","Tops","images/Polo_Ralph_Lauren_icon_logo_double_knit_sweat_bomber_in_black.jpg"
"adidas Terrex outdoors waterproof jacket in orange and black","Coats","images/adidas_Terrex_outdoors_waterproof_jacket_in_orange_and_black.jpg"
"adidas Originals cord jacket in shadow brown","Coats","images/adidas_Originals_cord_jacket_in_shadow_brown.jpg"
"Lacoste tipped polo shirt in khaki green","Tops","images/Lacoste_tipped_polo_shirt_in_khaki_green.jpg"
"Polo Ralph Lauren tonal icon logo long sleeve cotton knit polo slim fit in grey marl","Tops","images/Polo_Ralph_Lauren_tonal_icon_logo_long_sleeve_cotton_knit_polo_slim_fit_in_grey_marl.jpg"
"Polo Ralph Lauren slim fit long sleeve polo in black with player logo","Tops","images/Polo_Ralph_Lauren_slim_fit_long_sleeve_polo_in_black_with_player_logo.jpg"
"Polo Ralph Lauren icon logo slim fit pique polo in dark green","Tops","images/Polo_Ralph_Lauren_icon_logo_slim_fit_pique_polo_in_dark_green.jpg"
"Nike Shox TL Trainers in black multi","Shoes","images/Nike_Shox_TL_Trainers_in_black_multi.jpg"
"Nike P-6000 trainers unisex in light blue and burgundy","Shoes","images/Nike_P_6000_trainers_unisex_in_light_blue_and_burgundy.jpg"
"Nike Zoom Vomero 5 trainers in grey","Shoes","images/Nike_Zoom_Vomero_5_trainers_in_grey.jpg"
"Nike P-6000 unisex trainers in white and brown","Shoes","images/Nike_P_6000_unisex_trainers_in_white_and_brown.jpg"
"Carhartt WIP myton liner quilted jacket in green","Coats","images/Carhartt_WIP_myton_liner_quilted_jacket_in_green.jpg"
"Calvin Klein Jeans unisex sherpa bomber jacket in off white - ASOS Exclusive","Coats","images/Calvin_Klein_Jeans_unisex_sherpa_bomber_jacket_in_off_white___ASOS_Exclusive.jpg"
"ARKET fleece pile jacket with zip front pocket  in bright blue","Coats","images/ARKET_fleece_pile_jacket_with_zip_front_pocket__in_bright_blue.jpg"
"HUGO Red biron puffer jacket in deep ridged grey cord","Coats","images/HUGO_Red_biron_puffer_jacket_in_deep_ridged_grey_cord.jpg"
"Ray-Ban Justin classic square polarised sunglasses with brown lens in havana","Accessories","images/Ray_Ban_Justin_classic_square_polarised_sunglasses_with_brown_lens_in_havana.jpg"
"Oakley thurso square sunglasses in brown with brown lens in matte","Accessories","images/Oakley_thurso_square_sunglasses_in_brown_with_brown_lens_in_matte.jpg"
"Ray-Ban warren  rectangle polarised sunglasses in brown with green lens in transparent brown","Accessories","images/Ray_Ban_warren__rectangle_polarised_sunglasses_in_brown_with_green_lens_in_transparent_brown.jpg"
"Ray-Ban warren  rectangle sunglasses in black with green lens in black","Accessories","images/Ray_Ban_warren__rectangle_sunglasses_in_black_with_green_lens_in_black.jpg"
"ASOS DESIGN chelsea boots in black faux suede","Shoes","images/ASOS_DESIGN_chelsea_boots_in_black_faux_suede.jpg"
"Timberland premium 6 inch boots in wheat tan nubuck","Shoes","images/Timberland_premium_6_inch_boots_in_wheat_tan_nubuck.jpg"
"Dr Martens unisex 1460 Pascal virginia leather lace up boots","Shoes","images/Dr_Martens_unisex_1460_Pascal_virginia_leather_lace_up_boots.jpg"
"Barbour Nimbus ankle length wellington boots in black","Shoes","images/Barbour_Nimbus_ankle_length_wellington_boots_in_black.jpg"
"ASOS DESIGN essential long sleeve crew neck t-shirt in grey marl","Tops","images/ASOS_DESIGN_essential_long_sleeve_crew_neck_t_shirt_in_grey_marl.jpg"
"adidas Originals long sleeve striped t-shirt in burgundy and blue","Tops","images/adidas_Originals_long_sleeve_striped_t_shirt_in_burgundy_and_blue.jpg"
"The North Face Quest DryVent waterproof hooded jacket in black","Coats","images/The_North_Face_Quest_DryVent_waterproof_hooded_jacket_in_black.jpg"
"ASOS DESIGN rubberised rain jacket with borg lining in black","Coats","images/ASOS_DESIGN_rubberised_rain_jacket_with_borg_lining_in_black.jpg"
"The North Face Millerton Insulated waterproof jacket in black","Coats","images/The_North_Face_Millerton_Insulated_waterproof_jacket_in_black.jpg"
"Rains 12010 unisex waterproof short jacket in black","Coats","images/Rains_12010_unisex_waterproof_short_jacket_in_black.jpg"
"Jack & Jones glove & hat gift set in Grey","Accessories","images/Jack___Jones_glove___hat_gift_set_in_Grey.jpg"
"Barbour plain lambswool scarf in navy","Accessories","images/Barbour_plain_lambswool_scarf_in_navy.jpg"
"Barbour cascade cap in black","Accessories","images/Barbour_cascade_cap_in_black.jpg"
"ASOS DESIGN necklace with square semi-precious tigers eye stone pendant in gold tone","Accessories","images/ASOS_DESIGN_necklace_with_square_semi_precious_tigers_eye_stone_pendant_in_gold_tone.jpg"
"Sixth June linen shorts co-ord in beige","Bottoms","images/Sixth_June_linen_shorts_co_ord_in_beige.jpg"
"ASOS 4505 Icon training shorts with cargo pockets and quick dry in black","Bottoms","images/ASOS_4505_Icon_training_shorts_with_cargo_pockets_and_quick_dry_in_black.jpg"
"Cotton:On Baggy denim short in black","Bottoms","images/Cotton_On_Baggy_denim_short_in_black.jpg"
"adidas Training Train Essentials 7 inch woven shorts in black","Bottoms","images/adidas_Training_Train_Essentials_7_inch_woven_shorts_in_black.jpg"
